company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Euronet Worldwide Inc ,0.00788775123246113,0.00583996966249526,0.012059158134243459,0.008797876374668183,0.011755783086841106,0.018050815320439895,0.0,0.0,0.04277588168373152,0.03572241183162685,0.0,0.0,0.012135001896094046,0.0,0.023511566173682216,0.015244596131968146,0.07956010618126659,0.46628744785741405,0.0,0.0192643155100493,0.0,0.06135760333712552,0.002123625331816458,0.012741751990898748,0.0,0.011755783086841108,0.03966628744785741,0.0229806598407281,0.004323094425483504,0.0,0.014865377322715208,0.03837694349639742,0.010238907849829351,0.01380356465680698,0.008873720136518772
Evans Bancorp Inc ,0.03665910808767951,0.0,0.01379440665154951,0.0,0.024754346182917615,0.015306122448979591,0.0,0.0,0.022108843537414963,0.013416477702191988,0.0,0.0011337868480725624,0.006613756613756613,0.0,0.007936507936507936,0.0691609977324263,0.04648526077097505,0.427815570672713,0.009070294784580499,0.046674225245653816,0.01870748299319728,0.006991685563114134,0.01965230536659108,0.017384731670445956,0.0,0.026077097505668934,0.035336356764928196,0.02513227513227513,0.03476946334089191,0.0,0.0,0.06386999244142101,0.011148904006046862,0.0,0.0
Everbridge Inc ,0.015221803421281533,0.00773170967430173,0.01696143809799942,0.02536967236880255,0.022035372571759932,0.0521407171160723,0.0,0.0,0.025997873779839566,0.05446023001836281,0.022132018942688705,0.0,0.024741470957765535,0.0,0.02068232337875713,0.007828356045230501,0.03633903546921812,0.4632743790470664,0.014593602010244516,0.013917077413743113,0.010824393544022422,0.042959311877838996,0.003624238909828936,0.005508843142939983,0.0,0.007490093746979801,0.005847105441190683,0.014883541123030829,0.022905189910118876,0.0,0.0017396346767178893,0.038078670145936015,0.011452594955059438,0.011259302213201894,0.0
Evercore Inc ,0.015804694330486247,0.0,0.0,0.004169749142511265,0.007397942027036115,0.022126572062680747,0.0,0.0,0.03376151725065572,0.05198735624453561,0.0,0.0,0.013652565740803011,0.0,0.025825543076198804,0.019100141233438696,0.07404667428878874,0.4268612549599842,0.0,0.022059318044253144,0.04539646243863071,0.03665344004304257,0.0034299549398076534,0.032483690900531305,0.0,0.009684578653574551,0.01224023135382339,0.025691035039343595,0.028582957831730444,0.0,0.005918353621628892,0.07048221131212588,0.0052458134373528816,0.007397942027036116,0.0
Everi Holdings Inc ,0.029129564437081524,0.0,0.008283288465520813,0.006143438945261269,0.00662663077241665,0.020086974528887972,0.0,0.0,0.03520397597846345,0.009870918754745633,0.015047974045696142,0.0,0.019189618278456545,0.0,0.02022502933664665,0.010147028370262995,0.0289224822254435,0.3799958583557674,0.010630220197418374,0.09180644715952234,0.0,0.0387243735763098,0.002554013943535584,0.03969075723062056,0.0,0.013460343756471321,0.009870918754745633,0.009180644715952233,0.027541934147856696,0.0,0.05432456685304066,0.0327189894388072,0.012632014909919238,0.06592117070476977,0.0020708221163802027
Everspin Technologies Inc ,0.007977589671761768,0.0069423299433652025,0.022105840082820776,0.020644296936849153,0.020644296936849157,0.05066682906034955,0.0,0.0,0.017843005907070216,0.028317398453200172,0.01826928932464527,0.0,0.024359052432860365,0.0,0.01071798307045856,0.005967967846050789,0.02965714633700749,0.36380244808476947,0.010474392546129956,0.014980817246209123,0.011875038061019427,0.011022471225869312,0.0,0.007733999147433165,0.0,0.021253273247670665,0.01826928932464527,0.022288532976067234,0.016746848547591498,0.0,0.15358382558918454,0.030570610803239754,0.011753242798855125,0.0010961573594787163,0.04043602703854819
Evertec Inc ,0.009370543898961092,0.0,0.005296394377673661,0.013920010864398723,0.01303727846811978,0.020574455082501525,0.0,0.0,0.04773545189108439,0.048753989271406256,0.007808786582467576,0.0,0.01643240306919264,0.0,0.011203911183540437,0.017926257893664695,0.0344265634548788,0.4810212534800028,0.010796496231411693,0.03897603042031642,0.005160589393630746,0.06511848984857745,0.00821620153459632,0.017858355401643242,0.0,0.006247029265974062,0.045290962178311946,0.018808990289943647,0.009098933930875262,0.0,0.013444693420248522,0.012222448563862294,0.015617573164935155,0.005635906837780946,0.0
Evofem Biosciences Inc ,0.0068231118122658255,0.08941037270755275,0.003589035693157168,0.017866298560441727,0.015539341352790378,0.005363833563399725,0.0035101557878130553,0.0,0.012226385328337606,0.01830013803983435,0.02946164464602643,0.0,0.007375271149674621,0.0,0.006192072569512917,0.004575034509958588,0.011240386511536186,0.22816012620784848,0.03975547229343325,0.020351015578781308,0.00922894892526129,0.012108065470321436,0.0009859988168014198,0.05411161506606192,0.011003746795503845,0.008164070203115758,0.039676592388089134,0.00528495365805561,0.05923880891342931,0.04894498126602248,0.033445079865904156,0.004969434036679156,0.007927430487083416,0.0058371129954644056,0.17933346479984225
Evolent Health Inc,0.005305383022774327,0.0,0.011344030365769496,0.009359903381642512,0.009187370600414078,0.020876466528640447,0.0,0.0,0.012336093857832986,0.06357832988267771,0.031659765355417535,0.0,0.01617494824016563,0.0,0.028122843340234648,0.016476880607315388,0.04179606625258799,0.38854382332643234,0.021825396825396824,0.008410973084886128,0.01147342995169082,0.057539682539682536,0.012163561076604554,0.007807108350586612,0.0,0.011602829537612148,0.06375086266390614,0.014190821256038648,0.03213423050379572,0.0,0.040760869565217406,0.03731021394064872,0.015010351966873708,0.01125776397515528,0.0
Evolus Inc ,0.01659670649015176,0.015402001937358736,0.0025508556667742975,0.00823377462060058,0.010752340975137232,0.009137875363254763,0.006587019696480465,0.0,0.0194381659670649,0.03900548918308041,0.013884404262189216,0.0,0.014530190506942202,0.0,0.006974491443332257,0.008169195996125284,0.019567323216015498,0.300968679367129,0.013884404262189213,0.012399095899257348,0.00933161123668066,0.029641588634162094,0.002583144979011947,0.11501453019050699,0.007975460122699387,0.0062318372618663225,0.010203422667097192,0.006748466257668713,0.04362286083306424,0.04778818211172103,0.0421375524701324,0.00881498224087827,0.0019050694220213108,0.004520503713270907,0.1453987730061351
